iter	Passed	Remaining
0	0	72
1	1	62
2	1	58
3	2	53
4	2	53
5	3	51
6	3	50
7	4	49
8	4	48
9	5	47
10	5	46
11	6	48
12	7	49
13	8	49
14	8	49
15	9	49
16	10	49
17	10	48
18	11	48
19	12	48
20	12	48
21	13	47
22	14	46
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	55	1
98	55	0
99	56	0
